,STATE/UT,YEAR,RESIDENTIAL PREMISES - Dacoity,RESIDENTIAL PREMISES - Robbery,RESIDENTIAL PREMISES - Burglary,RESIDENTIAL PREMISES - Theft,HIGHWAYS - Dacoity,HIGHWAYS - Robbery,HIGHWAYS - Burglary,HIGHWAYS - Theft,RIVER and SEA - Dacoity,RIVER and SEA - Robbery,RIVER and SEA - Burglary,RIVER and SEA - Theft,RAILWAYS - Dacoity,RAILWAYS - Robbery,RAILWAYS - Burglary,RAILWAYS - Theft,BANKS - Dacoity,BANKS - Robbery,BANKS - Burglary,BANKS - Theft,COMMERCIAL ESTABLISHMENTS - Dacoity,COMMERCIAL ESTABLISHMENTS - Robbery,COMMERCIAL ESTABLISHMENTS - Burglary,COMMERCIAL ESTABLISHMENTS - Theft,OTHER PLACES - Dacoity,OTHER PLACES - Robbery,OTHER PLACES - Burglary,OTHER PLACES - Theft,TOTAL - Dacoity,TOTAL - Robbery,TOTAL - Burglary,TOTAL - Theft
68,D & N HAVELI,2002.0,3.0,1.0,12.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,16.0,0.0,0.0,4.0,12.0,3.0,1.0,38.0,75
69,DAMAN & DIU,2002.0,1.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,1.0,6.0,47.0,2.0,1.0,56.0,56
70,DELHI,2002.0,26.0,99.0,1675.0,4665.0,1.0,19.0,0.0,48.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1345.0,1.0,0.0,0.0,0.0,3.0,34.0,454.0,1594.0,15.0,341.0,231.0,8973.0,47.0,502.0,2360.0,16625
71,LAKSHADWEEP,2002.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12
72,PUDUCHERRY,2002.0,1.0,2.0,70.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,16.0,1.0,3.0,27.0,465.0,2.0,6.0,129.0,526
73,TOTAL (UTs),2002.0,31.0,104.0,2046.0,5364.0,1.0,19.0,0.0,48.0,1.0,0.0,0.0,4.0,1.0,9.0,0.0,1345.0,1.0,0.0,4.0,1.0,4.0,36.0,625.0,1706.0,17.0,375.0,302.0,10522.0,56.0,543.0,2977.0,18990
74,TOTAL (ALL-INDIA),2002.0,2842.0,3800.0,65406.0,71484.0,885.0,4158.0,325.0,6682.0,7.0,11.0,2.0,93.0,160.0,425.0,167.0,14727.0,68.0,123.0,512.0,501.0,422.0,1033.0,14440.0,22903.0,1688.0,9158.0,15417.0,130802.0,6072.0,18708.0,96269.0,247192
75,ANDHRA PRADESH,2003.0,86.0,254.0,6504.0,7487.0,34.0,120.0,20.0,130.0,1.0,1.0,0.0,72.0,8.0,43.0,2.0,1151.0,1.0,1.0,5.0,5.0,5.0,16.0,1330.0,2991.0,41.0,225.0,1189.0,11572.0,176.0,660.0,9050.0,23408
76,ARUNACHAL PRADESH,2003.0,19.0,29.0,139.0,173.0,2.0,3.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,34.0,53.0,16.0,19.0,77.0,126.0,37.0,60.0,253.0,370
77,ASSAM,2003.0,302.0,158.0,1548.0,2432.0,48.0,95.0,50.0,167.0,4.0,0.0,1.0,2.0,0.0,0.0,5.0,35.0,0.0,0.0,0.0,0.0,20.0,65.0,628.0,1257.0,97.0,205.0,374.0,1632.0,471.0,523.0,2606.0,5525
