,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Criminal Trespass/Burglary,Crime Index
147,BHOPAL,876,1214,31,1445,0,1445,717,598,119,48,48,2048,11236.0,27545,15022,12523,1267,284,2045,68,226,13061,296,2805,675,2311,3,3584,110761,183502,908.0,0.0070153592687828
148,BHOPAL RLY.,57,47,7,25,0,25,22,11,11,12,6,270,124.0,13939,211,13728,57,17,72,10,7,72,16,152,38,13,0,22,3469,18460,6.0,0.0023586497680919
149,BIDAR,512,649,38,123,0,123,287,203,84,62,17,329,1802.0,2484,681,1803,2141,125,529,17,224,12659,93,794,32,944,0,68,25325,49361,107.0,0.0009959220431576
150,BIEO,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,23,0.0,1.1322479820781097e-06
151,BIJAPUR,802,683,22,183,0,183,375,246,129,66,46,289,1518.0,1884,755,1129,3772,108,753,15,204,7792,38,977,0,1484,10,0,19417,40556,118.0,0.0010856092108511
152,BIJNOR,1161,811,236,436,0,436,1123,950,173,63,5,482,653.0,3339,1025,2314,686,502,1936,39,57,3326,328,620,665,2150,0,2222,9018,29944,86.0,0.0014334095359198
153,BIKANER,527,1043,39,566,0,566,476,417,59,10,3,112,1601.0,4674,1477,3197,129,193,4977,14,201,6273,201,754,0,3963,0,2550,22240,50686,140.0,0.0016530361075391
154,BILASPUR,1290,723,84,1003,0,1003,775,689,86,57,12,709,6811.0,9759,3146,6613,2679,259,973,82,539,16338,227,2718,202,1780,0,3046,33943,84555,546.0,0.0032285542517834
155,BIRBHUM,1003,530,350,661,0,661,590,467,123,89,448,323,173.0,3973,941,3032,2923,159,477,39,194,3390,188,725,2,2874,0,2316,7662,29104,15.0,0.0014682269818382
156,BISHNUPUR,236,414,5,47,0,47,150,90,60,4,88,3,69.0,342,107,235,90,25,95,3,90,473,0,112,0,22,0,4,1562,3846,12.0,0.0001778646714107
157,BIZAPUR,769,1075,5,69,0,69,68,25,43,247,3,41,105.0,112,37,75,133,3,37,3,127,191,1,49,1,20,0,123,1053,4251,16.0,0.0002420614910554
158,BKP CP,177,123,30,77,0,77,383,333,50,26,206,79,9.0,2682,928,1754,215,156,635,6,0,392,41,285,9,1694,0,273,5689,13189,2.0,0.0006879702833017
159,BOKARO,765,509,11,523,0,523,633,562,71,333,20,567,1364.0,7441,1617,5824,1834,780,829,30,78,1360,274,154,11,1035,0,445,14927,34082,159.0,0.0020662639565809
160,BOLANGIR,450,789,25,497,0,497,337,271,66,100,4,441,1006.0,1962,434,1528,1109,117,620,16,173,1164,93,1736,121,575,0,908,10983,23347,121.0,0.0008691069872867
161,BONGAIGAON,318,92,9,546,0,546,739,603,136,143,9,145,926.0,1443,237,1206,851,194,276,26,73,1219,64,179,0,1201,0,889,5053,14458,63.0,0.0007604407179111
162,BORDER,35,121,1,35,0,35,52,47,5,2,0,4,94.0,110,18,92,103,13,42,5,14,63,0,48,51,12,0,194,2452,3451,0.0,6.655977195514823e-05
163,BORDER DISTRICT,18,32,0,12,0,12,22,15,7,0,0,0,39.0,94,19,75,53,5,17,0,2,24,3,14,10,7,0,1,839,1192,0.0,3.554602288083479e-05
164,BOUDH,164,123,1,138,0,138,106,94,12,12,0,72,262.0,452,43,409,301,53,62,4,128,1737,20,623,41,169,0,127,1396,6013,22.0,0.0002167680556993
165,BUDGAM,296,398,42,115,0,115,826,773,53,4,0,70,958.0,2188,241,1947,1857,47,225,18,160,32,0,1105,262,12,0,226,5965,14891,85.0,0.0008662189344628
166,BULANDSHAHAR,2159,1906,323,501,0,501,1652,1304,348,86,16,787,853.0,5438,2152,3286,1173,625,1844,38,85,2087,535,919,1023,2548,0,3215,14947,42869,109.0,0.002213141133943
167,BULDHANA,689,578,28,437,0,437,290,238,52,178,24,456,2541.0,9129,1448,7681,2660,284,1059,55,842,10314,340,1627,472,2562,0,2657,13809,51213,182.0,0.0023705498584775
168,BUNDI,297,852,46,518,0,518,1161,976,185,16,2,183,1424.0,3583,1262,2321,712,152,2291,6,195,10499,53,1573,13,3145,0,1554,16235,44573,63.0,0.0014065834634401
169,BURDWAN,1419,644,395,837,0,837,986,658,328,154,800,436,247.0,7279,1831,5448,3557,157,1390,45,164,2271,395,1047,14,5538,1,5904,23595,57278,3.0,0.002374107414456
170,BURHANPUR,161,108,3,208,0,208,45,40,5,51,9,68,441.0,1181,341,840,184,51,105,0,39,1855,50,570,96,257,0,445,8115,14089,47.0,0.0003588504089981
171,BUXAR,736,1008,53,166,0,166,648,344,304,315,8,456,848.0,3327,576,2751,2493,411,656,13,278,4336,290,198,1,571,11,889,7117,24930,101.0,0.0012430507541677
172,BADAUN,120,162,33,71,0,71,164,149,0,3,0,53,0.0,331,165,166,9,27,68,1,2,323,56,148,0,62,0,214,782,2919,50.0,0.0001458138488224
173,BADDI,13,3,0,9,0,9,14,8,0,0,0,3,0.0,41,23,18,42,18,21,0,2,17,0,15,1,19,0,54,191,651,32.0,1.9622349811144972e-05
174,BAGAHA,21,0,8,14,0,14,76,56,0,2,0,8,0.0,147,26,121,123,48,33,1,2,8,7,38,0,56,0,22,1190,1860,26.0,5.988771355640968e-05
175,BAGALKOT,39,50,2,22,0,22,25,0,25,1,0,17,0.0,161,85,76,208,5,91,1,12,29,4,96,1,53,0,285,315,2131,125.0,6.91754288876591e-05
176,BAGESHWAR,5,1,0,3,0,3,0,0,0,0,0,0,0.0,6,0,6,0,1,3,0,0,1,0,4,0,2,0,2,40,77,5.0,2.7731870865391377e-06
177,BAGHPAT,83,84,17,35,0,35,121,86,34,3,3,45,0.0,332,184,148,56,23,61,2,0,9,14,96,0,90,0,93,533,1844,34.0,0.0001225486141993
178,BAHRAICH,53,35,29,68,0,68,202,178,21,0,0,14,0.0,258,126,132,73,39,93,1,3,169,51,45,0,0,0,131,763,2249,84.0,0.0001286430620333
179,BALAGHAT,60,23,2,131,0,131,187,8,0,1,1,16,0.0,136,49,87,41,14,40,0,18,23,12,178,3,107,0,152,1641,3507,144.0,9.166942213161088e-05
180,BALASORE,65,126,6,110,0,110,231,118,8,15,20,90,0.0,357,141,216,60,16,140,4,27,153,2,566,26,380,0,185,1195,4305,240.0,0.0001639888903434
181,BALLARI,58,65,3,48,0,48,20,3,9,6,0,49,0.0,380,195,185,233,6,228,1,5,338,12,121,0,72,0,320,300,3304,216.0,0.000130759873478
182,BALLIA,36,29,7,21,2,19,116,88,1,0,0,28,0.0,287,188,99,113,30,83,1,1,188,24,71,2,95,0,121,221,1674,80.0,0.0001041438412037
183,BALOD,17,12,0,34,0,34,27,18,9,0,0,4,0.0,110,37,73,24,6,23,0,13,13,4,62,3,23,0,98,927,1479,77.0,3.944161231482527e-05
184,BALODBAZAR,33,16,1,40,0,40,119,0,0,1,0,19,0.0,235,85,150,57,9,9,0,19,845,8,95,6,32,0,179,242,2578,186.0,7.495481641357085e-05
185,BALRAMPUR,83,34,9,130,1,129,88,59,28,1,1,10,0.0,122,50,72,33,20,37,0,7,129,18,90,1,41,0,123,551,1882,75.0,9.041902653401156e-05
186,BANASKANTHA,51,42,1,56,0,56,112,105,7,18,1,79,0.0,389,206,183,71,33,70,4,17,523,0,90,2,295,0,257,1662,4464,214.0,0.0001355415700284
187,BANDA,42,59,21,71,0,71,151,109,30,0,0,25,0.0,240,119,121,86,31,65,1,1,40,39,185,0,96,0,125,352,1948,86.0,0.0001122533622579
188,BANDIPORA,2,5,0,4,0,4,40,37,3,0,0,1,0.0,34,3,31,65,0,9,0,5,1,0,53,5,4,0,18,272,618,36.0,2.0839926626655057e-05
189,BANKA,59,143,0,22,0,22,73,62,0,11,0,19,0.0,143,30,113,195,31,10,0,17,327,23,3,0,64,0,109,922,2505,41.0,7.636930592161625e-05
190,BANKURA,75,106,6,79,1,78,71,43,21,5,8,32,0.0,241,44,197,162,48,74,1,22,50,18,121,0,316,0,201,1183,3049,11.0,0.000110651805692
191,BANSWARA,25,13,0,146,0,146,152,36,116,0,0,27,0.0,186,98,88,42,1,106,0,12,57,6,103,0,198,0,167,1098,2789,79.0,0.0001107765170639
192,BARABANKI,57,42,11,35,0,35,65,63,1,2,1,17,0.0,113,60,53,3,64,148,1,0,306,25,51,0,36,0,255,1006,2471,29.0,6.784626821304566e-05
193,BARAGARH,27,120,0,56,0,56,61,18,20,17,5,68,0.0,199,54,145,89,12,33,0,19,248,7,114,9,80,0,98,265,1817,113.0,8.069482140097553e-05
194,BARAMULLA,2,16,4,10,0,10,61,0,28,0,0,11,0.0,81,26,55,151,5,13,1,9,5,0,83,18,11,0,21,373,1110,56.0,3.8181371082599205e-05
195,BARAN,34,63,3,67,0,67,162,156,0,2,1,22,0.0,449,186,263,0,12,345,0,16,168,5,212,0,342,0,131,1834,4515,101.0,0.0001619114614371
196,BAREILLY,132,192,21,76,0,76,337,172,0,4,2,80,0.0,886,509,377,153,147,462,5,4,181,74,252,0,139,0,247,2633,6589,151.0,0.0003165896633018
197,BARMER,38,34,0,93,0,93,57,41,16,3,0,19,0.0,352,191,161,3,3,160,3,26,13,26,272,0,270,0,248,1845,4388,200.0,0.000116857837385
198,BARNALA,15,24,4,31,0,31,41,25,13,0,1,1,0.0,96,23,73,0,13,51,0,2,40,0,17,0,27,0,74,238,791,48.0,3.884102860259253e-05
199,BARPETA,46,68,0,143,0,143,379,359,20,9,0,5,0.0,448,116,332,306,158,260,14,38,424,21,556,0,1116,0,70,4118,9056,357.0,0.0002484709991974
200,BARRACKPUR PC,86,199,16,77,0,77,354,171,112,3,170,13,0.0,1220,342,878,73,93,506,17,1,940,21,201,2,1205,0,230,2086,8087,0.0,0.0003684728759067
201,BARWANI,44,19,0,68,0,68,27,12,1,1,1,7,0.0,222,113,109,22,4,7,0,13,34,4,92,4,16,0,154,1179,2857,112.0,7.062273717779373e-05
202,BASKA,31,28,0,26,0,26,41,36,5,5,0,16,0.0,124,34,90,0,2,26,0,29,115,4,27,0,77,0,53,130,853,42.0,4.5224281718945934e-05
203,BASTI,31,8,14,15,0,15,53,52,0,2,0,11,0.0,85,42,43,20,21,19,0,10,86,15,27,0,40,0,105,107,752,24.0,4.023582684138441e-05
204,BATALA,22,30,1,30,0,30,46,33,0,0,5,3,0.0,86,23,63,0,4,104,0,0,161,3,36,0,37,0,69,144,865,55.0,4.2287000721960696e-05
205,BATHINDA,55,45,5,56,0,56,67,37,19,1,3,2,0.0,260,134,126,0,19,151,2,8,93,5,77,0,74,0,143,744,2117,172.0,9.398971002531876e-05
206,BEED,75,93,2,70,0,70,72,25,28,21,2,94,0.0,678,292,386,266,30,120,1,33,121,3,273,1,316,0,304,1156,4864,227.0,0.0002012743086749
207,BEGUSARAI,121,199,5,30,0,30,209,132,0,26,14,60,0.0,598,116,482,461,47,89,2,24,79,28,37,1,55,0,89,2416,5196,145.0,0.0002193147931894
208,BELAGAVI CITY,25,37,0,22,0,22,27,2,22,5,0,77,0.0,315,198,117,169,12,115,0,18,35,8,85,3,72,0,151,405,2396,175.0,9.971330562167884e-05
209,BELAGAVI DISTRICT,75,99,2,59,0,59,47,6,33,19,1,40,0.0,326,137,189,447,19,115,0,21,94,4,233,4,162,0,605,826,4851,205.0,0.0001393452668726
210,BEMETRA,21,8,0,41,0,41,30,23,7,0,0,7,0.0,119,40,79,25,2,17,0,4,18,3,56,0,19,0,103,1068,1645,104.0,4.361616139657413e-05
211,BENGALURU CITY,241,489,21,104,0,104,708,11,60,51,347,1067,0.0,11455,5075,6380,388,107,3045,29,100,217,57,680,57,490,0,885,5279,31892,1542.0,0.0025482274628303
212,BENGALURU DISTRICT,78,82,2,60,0,60,83,69,0,25,15,145,0.0,667,361,306,248,32,318,0,13,32,22,135,0,97,0,614,2615,5567,262.0,0.0002207588196013
213,BERHAMPUR,31,76,0,30,0,30,59,35,1,25,0,76,0.0,237,119,118,29,46,78,2,11,42,0,162,24,118,0,96,290,1709,114.0,8.384214260333179e-05
214,BETTIAH,75,9,0,33,0,33,115,102,0,7,0,11,0.0,497,195,302,508,44,155,5,19,10,39,0,0,106,0,134,2715,4712,121.0,0.0001816880595241
215,BETUL,63,53,5,164,0,164,191,152,39,0,0,19,0.0,339,145,194,2,16,40,0,16,40,9,417,27,379,0,191,3689,6822,231.0,0.0001541629469859
216,BHABHUA,56,105,0,12,0,12,86,59,0,8,0,21,0.0,344,51,293,97,23,49,0,13,5,12,0,0,44,0,89,1110,2267,79.0,0.0001020959492013
217,BHADRAK,39,86,0,63,0,63,116,98,18,3,1,25,0.0,222,63,159,45,15,85,0,29,38,24,178,5,168,0,85,1473,2807,99.0,9.783278940796648e-05
218,BHAGALPUR,102,66,5,52,0,52,213,165,0,13,3,42,0.0,677,299,378,348,44,87,1,10,2,20,31,0,161,0,128,2213,4763,225.0,0.0002289044413158
219,BHANDARA,20,17,3,28,0,28,23,6,2,1,0,25,0.0,476,83,393,19,11,55,0,20,42,3,73,14,40,0,135,528,2003,153.0,0.0001018465264574
220,BHARATPUR,99,66,3,219,0,219,290,76,137,0,19,29,0.0,1549,939,610,0,8,120,2,25,2,36,145,0,606,0,306,5543,10231,79.0,0.000412085755425
221,BHARUCH,47,27,0,42,0,42,64,31,20,10,0,29,0.0,406,222,184,53,83,3,4,3,89,0,49,0,63,0,323,1092,2981,142.0,0.0001144358112669
222,BHAVNAGAR,39,33,6,17,0,17,105,97,7,13,0,39,0.0,361,187,174,54,20,30,0,9,148,0,39,36,155,0,204,1578,3589,153.0,0.0001092799806006
223,BHILWARA,35,32,2,54,0,54,122,109,13,0,0,22,0.0,799,428,371,7,9,751,1,14,66,8,173,0,965,0,331,2867,7353,203.0,0.0002418941152668
224,BHIND,62,126,1,78,0,78,106,39,0,6,6,92,0.0,418,232,186,71,18,51,0,13,1247,30,142,0,86,0,215,1892,4870,204.0,0.0001408647764833
225,BHIWANI,62,47,2,44,0,44,102,27,74,7,2,54,0.0,822,514,308,219,17,87,0,26,52,12,99,1,119,0,234,1701,4604,400.0,0.0002187634376503
226,BHOJPUR,116,243,7,32,0,32,151,107,23,12,6,23,0.0,520,96,424,205,26,426,0,41,611,46,7,0,129,0,138,1898,5488,224.0,0.0001983403095562
227,BHOPAL,83,117,2,223,0,223,366,294,72,9,0,113,0.0,3010,1932,1078,62,23,190,5,22,327,20,343,18,348,0,234,6266,16094,1041.0,0.0007285900898935
228,BHOPAL RAILWAY,4,4,0,3,0,3,25,14,11,1,0,20,0.0,1670,19,1651,4,2,5,0,0,1,0,19,1,4,0,0,298,2067,6.0,0.0002833179820198
229,BIDAR,44,44,3,33,0,33,52,16,29,3,4,38,0.0,250,130,120,227,6,75,1,14,34,10,82,11,106,0,256,1621,4333,127.0,9.56043941041084e-05
230,BIDHANNAGAR PC,18,12,2,24,0,24,102,28,43,1,54,8,0.0,568,175,393,63,87,228,4,2,111,6,97,9,364,0,52,879,3014,7.0,0.0001522430482336
231,BIJNOR,84,63,31,80,0,80,184,164,18,4,0,59,0.0,434,181,253,77,42,203,2,6,16,26,175,0,0,0,253,1468,3475,94.0,0.0001760990209343
232,BIKANER,48,60,7,75,0,75,81,71,10,2,1,4,0.0,347,162,185,0,18,855,2,15,11,15,89,0,584,0,257,2825,5441,138.0,0.0001638444877022
233,BILASPUR,76,43,4,109,0,109,262,66,1,0,1,49,0.0,527,326,201,123,9,78,1,41,166,13,283,5,100,0,325,3033,6055,423.0,0.0001882091515252
234,BIRBHUM,110,198,9,82,0,82,125,52,9,11,57,43,0.0,385,153,232,235,16,137,6,14,665,8,99,0,412,0,267,433,3749,13.0,0.000165413225486
235,BISHNUPUR,12,23,1,9,0,9,11,8,3,0,0,0,0.0,50,33,17,6,1,3,0,2,20,0,6,0,3,0,25,44,307,8.0,1.6973874096544875e-05
236,BIZAPUR,38,77,0,6,0,6,12,0,0,3,0,0,0.0,8,5,3,0,0,5,0,4,9,0,2,0,2,0,16,73,343,18.0,1.3225969181955886e-05
237,BOKARO,43,13,0,63,0,63,97,97,0,6,0,41,0.0,752,247,505,136,60,147,0,0,0,18,0,0,187,0,0,1421,3145,114.0,0.0002001354969364
238,BOLANGIR,26,70,0,56,0,56,130,106,0,13,0,59,0.0,199,64,135,64,12,43,1,20,212,19,211,10,47,0,112,796,2379,129.0,9.253255610055738e-05
239,BONGAIGAON,17,23,0,31,0,31,51,29,22,3,0,12,0.0,190,108,82,15,7,55,1,11,98,4,8,0,178,0,77,838,1789,84.0,6.13776862632603e-05
240,BOTAD,13,10,2,11,0,11,27,1,0,2,0,4,0.0,57,39,18,9,3,3,1,2,44,0,11,0,39,0,58,344,783,25.0,1.9888181946067665e-05
241,BOUDH,22,37,0,24,0,24,34,0,34,9,0,23,0.0,35,12,23,9,4,14,0,5,116,2,68,3,14,0,36,31,596,29.0,2.600232104928945e-05
242,BUDGAM,11,25,3,9,0,9,48,0,48,0,0,2,0.0,78,18,60,145,6,7,0,4,2,0,30,6,3,0,9,440,1026,58.0,3.739700219066683e-05
243,BULANDSHAHAR,171,213,20,82,1,81,291,175,82,11,5,122,0.0,841,483,358,158,65,17,1,7,17,55,239,1,0,0,378,1390,4775,119.0,0.0002887166716735
244,BULDHANA,59,55,5,57,0,57,44,28,7,12,3,44,0.0,669,167,502,186,19,94,1,45,128,22,253,36,152,0,279,1690,4453,155.0,0.0001727383776484
245,BUNDI,24,45,6,80,0,80,145,119,26,0,2,15,0.0,260,132,128,5,4,362,0,4,175,4,179,0,325,0,208,1288,3823,86.0,0.0001262210359151
246,BURDWAN,133,461,28,121,0,121,241,95,48,7,60,28,0.0,732,164,568,269,45,392,5,40,223,12,273,0,712,0,481,3018,7694,5.0,0.0002826944251601
247,BURHANPUR,20,20,1,46,0,46,24,0,24,3,2,5,0.0,121,43,78,8,5,21,0,2,47,5,90,5,48,0,73,983,1958,58.0,4.256924224792799e-05
248,BUXAR,56,12,6,16,0,16,87,72,0,6,0,32,0.0,438,112,326,358,12,36,0,10,260,24,13,0,95,0,54,1573,3284,100.0,0.0001373662943126
249,C. I. D.,0,0,0,4,0,4,0,0,0,0,0,0,0.0,53,0,53,0,0,24,5,0,0,0,3,0,1,0,0,8,116,0.0,1.1552211295405638e-05
250,C. I. D. CRIME,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0.0,7.220132059628524e-07
251,C.I.D.,3,0,0,4,0,4,8,4,4,0,0,2,0.0,16,0,16,0,21,134,2,0,0,0,0,0,0,0,0,252,442,0.0,1.5684095960438506e-05
252,CACHAR,754,253,6,863,0,863,1818,1591,227,335,10,259,2572.0,6682,1223,5459,3995,652,807,44,610,2936,120,945,1,4709,0,2775,21828,53180,206.0,0.0024642573269768
253,CAR,2,0,0,1,0,1,1,1,0,1,0,0,0.0,5,0,5,0,1,3,0,0,6,0,3,2,0,0,2,20,48,1.0,1.870670579085572e-06
254,CAW,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,4,0,991,0,0,1,999,0.0,2.2973147462454397e-07
255,CBCID,110,30,6,7,0,7,8,2,6,13,0,9,47.0,45,23,22,52,80,217,446,36,19,1,0,0,21,0,7,185,1339,0.0,8.945087246237958e-05
256,CBPURA,271,242,49,88,0,88,145,101,44,20,4,143,620.0,1540,486,1054,1315,52,373,10,0,2328,61,282,4,280,0,8,5798,13709,76.0,0.0005570824165734
257,CENTRAL,336,350,78,352,0,352,1305,778,527,12,53,412,1065.0,17515,8495,9020,58,508,2286,42,29,1877,47,593,159,656,1,203,14833,42891,121.0,0.0038614414912266
258,CHAIBASA,1642,540,167,560,0,560,209,162,47,122,10,260,309.0,1671,340,1331,349,125,225,4,55,548,39,171,7,236,1,382,3700,11339,7.0,0.0008439382633025
259,CHAMARAJNAGAR,334,311,11,104,0,104,99,70,29,36,2,81,810.0,1632,361,1271,1471,31,238,16,58,5863,50,622,0,412,1,0,8131,20367,54.0,0.0005873544611725
260,CHAMBA,124,43,9,161,0,161,199,186,13,0,0,6,1264.0,464,97,367,254,48,80,5,92,823,8,290,12,124,0,591,3797,8460,66.0,0.0003105411617628
261,CHAMOLI,85,64,14,52,0,52,81,65,16,2,1,23,260.0,210,16,194,176,32,66,3,19,201,27,73,14,29,0,157,535,2130,6.0,0.0001218823929229
262,CHAMPAWAT,58,37,13,22,0,22,45,39,6,6,0,25,73.0,151,30,121,38,10,30,11,8,222,14,44,3,28,0,120,337,1300,5.0,6.530281260113107e-05
263,CHAMPHAI,55,29,10,134,0,134,8,1,7,1,0,5,517.0,918,27,891,4,19,62,14,18,154,0,93,0,0,0,16,418,2514,39.0,0.0002429771350757
264,CHANDEL,130,139,0,5,0,5,30,5,25,20,58,14,21.0,52,7,45,15,8,15,3,48,102,0,4,0,0,0,6,291,964,3.0,5.098725985381306e-05
265,CHANDIGARH,265,351,82,326,0,326,901,708,193,42,34,459,2947.0,19993,10069,9924,809,436,2585,28,70,875,43,457,169,899,0,104,12751,44884,258.0,0.004459757425617
266,CHANDOLI,337,262,119,82,0,82,235,185,50,11,2,131,366.0,975,388,587,123,298,589,16,30,1465,188,167,183,512,0,540,3651,10313,31.0,0.0004097195212364
267,CHANDRAPUR,650,352,50,557,0,557,300,244,56,85,24,432,3480.0,9085,1603,7482,1499,331,784,39,571,8010,70,1425,980,1797,0,3010,15159,48974,284.0,0.0023557682790245
268,CHANGLANG,89,42,7,58,0,58,89,60,29,32,2,58,238.0,410,7,403,20,49,42,2,21,422,1,38,0,24,0,35,696,2390,15.0,0.0001467130834516
269,CHATRA,479,247,12,195,0,195,196,150,46,256,0,270,266.0,1153,198,955,1260,30,156,0,54,191,174,36,0,96,0,506,6122,11729,30.0,0.0005220155479111
270,CHENGAI,308,386,0,97,0,97,114,95,19,25,30,158,1855.0,4301,977,3324,417,73,464,13,51,3442,91,329,123,319,0,2303,28662,43561,0.0,0.0010797543401264
271,CHENNAI,1566,2912,34,614,1,613,687,419,268,78,2,1120,6543.0,31043,5727,25316,1093,276,6923,675,55,12912,283,904,2384,2433,0,11674,97536,182214,467.0,0.0071365130847433
272,CHENNAI RLY.,29,42,0,1,0,1,8,6,2,9,1,224,18.0,2533,41,2492,121,20,65,6,0,375,7,47,14,9,0,53,3111,6695,2.0,0.0004596073518902
273,CHENNAISUBURBAN,232,331,1,96,0,96,87,58,29,7,3,190,903.0,2152,437,1715,213,18,524,17,16,1874,66,154,194,157,0,1759,10410,19404,0.0,0.0005975972030626
274,CHHATARPUR,763,874,38,821,0,821,343,286,57,30,34,616,3472.0,2963,918,2045,797,88,389,11,273,6919,288,2386,152,826,0,1489,32040,55880,268.0,0.0013566496864913
275,CHHINDWARA,924,419,51,1496,0,1496,405,374,31,15,14,226,2164.0,3345,1151,2194,684,90,495,1,259,17350,169,2578,415,1489,0,2129,22547,57452,187.0,0.0014653093921105
276,CHICKMAGALUR,436,449,39,180,1,179,214,150,64,68,9,223,1832.0,2669,715,1954,1901,83,427,28,76,10156,63,833,59,1104,5,50,16450,37460,106.0,0.0009750394521143
277,CHIRANG,247,11,4,229,0,229,351,296,55,53,1,65,265.0,508,78,430,219,57,99,9,94,257,15,112,0,480,0,201,1971,5268,20.0,0.0003063009751169
278,CHITRADURGA,470,324,29,260,0,260,254,204,50,52,8,281,1454.0,2962,1010,1952,3594,108,506,21,106,10521,80,1132,2,712,0,5,25938,48949,130.0,0.0011629991808957
279,CHITRAKOOT DHAM,337,123,102,213,0,213,207,113,94,21,3,54,348.0,604,198,406,104,123,239,5,48,437,150,250,10,137,0,590,2211,6358,42.0,0.0003185653539836
280,CHITTOOR,1342,800,34,399,0,399,959,558,401,99,0,218,2777.0,11589,2978,8611,1030,367,2932,177,437,14480,275,1500,2263,3718,0,8714,26814,81081,157.0,0.0030695866350997
281,CHITTORGARH,557,552,34,831,0,831,1874,1539,335,23,52,402,2857.0,7321,2577,4744,1862,423,3934,26,450,20790,82,1406,22,6255,1,2620,20018,72548,156.0,0.0026570775173856
282,CHURACHANDPUR,293,164,5,29,0,29,72,14,58,0,80,0,57.0,207,47,160,14,7,39,8,22,54,0,14,0,2,0,1,583,1659,8.0,0.0001226405067892
283,CHURU,370,466,18,433,0,433,476,276,200,10,4,57,1155.0,2590,606,1984,505,113,3892,9,181,8288,143,433,4,3260,0,1722,13425,37674,120.0,0.0011105317939696
284,CID,0,0,0,1,0,1,0,0,0,0,0,0,0.0,2,0,2,0,2,11,0,0,0,0,0,0,0,0,0,24,40,0.0,1.3783888477472636e-06
285,CID CRIME,5,0,0,2,0,2,1,1,0,0,0,0,0.0,2,0,2,0,21,24,0,0,0,0,0,0,0,0,0,7,62,0.0,4.430535582044776e-06
286,COIMBATORE RURAL,866,708,6,208,0,208,554,406,148,106,5,681,2861.0,11052,3992,7060,2664,201,1236,51,183,14376,104,953,226,1022,0,9542,56311,104076,160.0,0.0028501635399294
287,COIMBATORE URBAN,287,334,1,117,0,117,181,84,97,26,0,461,1773.0,11191,4064,7127,807,204,1414,366,91,2813,43,260,121,618,0,3232,46025,70487,122.0,0.0024602304624145
288,COOCHBEHAR,539,696,123,1327,0,1327,1295,1177,118,49,32,99,118.0,2627,645,1982,811,162,525,53,159,1464,154,1245,13,4556,0,1207,13592,30855,9.0,0.0012671758408815
289,CP AMRITSAR,145,281,13,100,0,100,208,175,33,7,53,52,358.0,1322,494,828,0,62,1057,20,17,597,23,84,9,394,0,296,2056,7256,102.0,0.0004433161084611
290,CP AMRITSAR,29,75,2,34,0,34,78,47,25,1,12,13,0.0,324,93,231,0,24,307,2,2,143,3,45,2,150,0,62,467,1998,127.0,0.0001093653094341
291,CP JALANDHAR,95,169,25,111,0,111,208,168,40,7,21,71,517.0,1813,804,1009,0,45,905,8,23,635,26,141,24,425,0,330,1902,7680,179.0,0.0005253827549534
292,CP JALANDHAR,16,32,9,49,0,49,111,45,44,1,13,10,0.0,498,216,282,0,7,220,0,4,48,1,77,2,106,0,75,468,2020,194.0,0.0001393649581418
293,CP LUDHIANA,316,325,43,281,0,281,514,393,121,14,48,74,628.0,2380,1193,1187,0,164,1391,10,20,875,46,165,58,503,0,1000,4282,13335,198.0,0.0008224714979379
294,CP LUDHIANA,73,68,8,111,0,111,246,113,133,2,24,23,0.0,603,209,394,0,29,349,1,5,208,5,98,19,158,0,240,983,3546,259.0,0.0002195149877601
295,CRIME BRANCH,6,26,0,8,0,8,5,1,4,0,0,1,0.0,18,0,18,0,1,266,26,0,0,0,0,0,0,0,0,116,473,0.0,2.6967193242712537e-05
296,CRIME JAMMU,10,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,1,367,0,0,0,0,0,0,0,0,0,8,388,0.0,2.610734115197496e-05
297,CRIME KASHMIR,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,32,0.0,2.0511738805762853e-06
