,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Criminal Trespass/Burglary,Crime Index
511,GUNA,594,526,66,1081,0,1081,174,152,22,53,89,380,2533.0,3668,1164,2504,1042,121,285,5,238,12670,107,2314,217,668,2,1832,21659,50480,156.0,0.0013871317712958
512,GUNTAKAL RLY.,77,3,0,3,0,3,10,6,4,15,0,31,0.0,2342,0,2342,4,4,22,70,3,86,5,22,15,11,0,32,778,3533,0.0,0.0004096867024543
513,GUNTUR,1885,1413,19,564,0,564,1030,759,271,95,9,368,3509.0,13840,2782,11058,1245,639,4543,225,713,24554,250,3177,2387,6400,0,6559,30501,104117,192.0,0.0038119015396629
514,GUNTUR URBAN,194,160,8,97,0,97,146,99,47,8,1,88,416.0,3488,1357,2131,34,78,1175,19,47,3578,35,342,341,1653,0,916,3692,16706,190.0,0.0008316968575832
515,GURDASPUR,287,303,140,248,0,248,306,244,62,9,18,27,596.0,1079,386,693,0,130,737,15,17,1381,87,177,3,404,0,1640,3963,11609,42.0,0.0004767092192369
516,GURGAON,1020,663,69,489,0,489,992,705,287,231,396,1059,5710.0,28850,21992,6858,1238,869,2024,42,127,2214,232,402,464,1646,0,651,24435,74490,667.0,0.0068129494302475
517,GUWAHATI CITY,759,488,185,785,0,785,3410,2670,740,263,78,1826,6701.0,20898,8264,12634,2089,1591,2749,191,226,6770,96,1305,0,2493,0,2648,32713,89092,828.0,0.0058521303564124
518,GWALIOR,1236,1895,226,974,0,974,900,670,230,108,192,2200,11163.0,20363,12695,7668,1873,475,1485,26,275,13525,390,2336,208,2298,0,3034,55865,121899,852.0,0.005801730552758
519,GADAG,12,18,1,15,0,15,11,0,11,2,1,14,0.0,82,40,42,92,10,48,1,3,18,2,31,0,22,0,126,178,1109,55.0,3.4233271597265974e-05
520,GADCHIROLI,54,55,2,22,0,22,8,6,2,4,0,8,0.0,102,30,72,9,3,36,0,17,24,0,32,2,16,0,109,191,875,85.0,3.903137753871001e-05
521,GAJAPATI,17,22,0,19,0,19,22,6,9,1,0,0,0.0,36,12,24,32,2,16,0,3,23,3,84,4,9,0,29,59,460,21.0,2.111560439620451e-05
522,GANDERBAL,2,11,0,0,0,0,20,0,20,1,0,0,0.0,26,6,20,50,4,3,0,9,2,0,54,0,3,0,17,137,473,44.0,1.2471137193903812e-05
523,GANDHINAGAR,20,9,1,17,0,17,79,57,18,2,0,61,0.0,367,205,162,48,6,89,7,6,60,0,22,2,152,0,207,2852,7451,90.0,0.0001051349684228
524,GANGANAGAR,43,90,1,180,1,179,149,21,95,1,1,12,0.0,422,209,213,0,32,544,2,1,13,17,147,2,923,0,223,3106,6929,180.0,0.0001893282719945
525,GANJAM,75,263,0,85,0,85,129,80,32,34,0,64,0.0,153,54,99,66,20,51,0,29,243,13,410,50,79,0,68,590,2580,137.0,0.0001067988806747
526,GARHWA,67,248,4,50,0,50,90,80,6,3,0,30,0.0,154,39,115,143,65,93,0,6,85,25,19,0,45,0,60,1167,2582,60.0,9.786889006826463e-05
527,GARIYABAND,15,13,0,42,0,42,15,3,0,2,0,4,0.0,45,24,21,12,1,8,0,2,17,3,31,3,14,0,72,373,948,41.0,2.4364663823037344e-05
528,GARO HILLS EAST,7,1,1,3,0,3,7,0,7,3,0,6,0.0,57,12,45,0,0,5,0,0,5,0,3,1,0,0,0,18,159,1.0,1.3701841522249584e-05
529,GARO HILLS NORTH,14,8,2,3,0,3,26,1,16,5,0,2,0.0,24,0,24,0,6,0,0,0,12,0,8,0,1,0,8,21,165,4.0,1.1568620686450248e-05
530,GARO HILLS SOUTH,19,24,2,3,0,3,28,4,24,4,0,2,0.0,21,10,11,3,0,6,3,1,1,0,3,0,3,0,4,13,167,2.0,1.431555274731801e-05
531,GARO HILLS SOUTH WEST,5,4,0,4,0,4,4,0,0,5,0,2,0.0,7,0,7,0,0,1,0,0,2,0,8,1,1,0,6,5,65,0.0,3.806978722349585e-06
532,GARO HILLS WEST,28,26,1,11,0,11,59,3,43,9,0,13,0.0,72,45,27,2,10,9,0,4,12,0,11,7,10,0,24,122,532,47.0,3.284831899310086e-05
533,GAUTAMBUDH NAGAR,104,106,27,54,7,47,210,15,5,6,4,227,0.0,3680,2344,1336,191,106,382,3,0,17,35,161,7,198,0,374,1774,8521,202.0,0.0008004107126175
534,GAYA,145,53,9,48,0,48,248,174,0,50,5,77,0.0,1366,632,734,543,35,73,0,5,907,63,0,0,198,0,289,2355,7232,209.0,0.0003800119596892
535,GHAZIABAD,166,124,40,118,14,104,482,264,0,8,7,114,0.0,3392,2635,757,70,176,493,1,2,19,38,283,3,575,0,398,2796,10088,210.0,0.0008363932253002
536,GHAZIPUR,64,70,18,24,1,23,128,102,25,7,1,32,0.0,260,160,100,113,36,93,1,1,273,31,69,0,67,0,107,394,1945,81.0,0.0001115280671737
537,GIR SOMNATH,17,8,0,17,0,17,32,5,4,5,0,20,0.0,80,43,37,29,10,21,0,5,34,1,30,2,125,0,110,566,1405,52.0,3.125332618356474e-05
538,GIRIDIH,72,71,1,58,0,58,91,0,91,20,0,35,0.0,284,60,224,199,23,145,0,1,34,40,39,0,176,0,106,1843,3491,62.0,0.0001195358500035
539,GOALPARA,44,62,0,108,0,108,218,119,91,21,0,23,0.0,266,99,167,52,17,137,0,28,360,8,121,0,367,0,70,476,2623,243.0,0.0001382294282815
540,GODDA,50,0,0,34,0,34,61,17,43,3,0,6,0.0,147,21,126,74,7,56,0,0,0,3,0,0,57,0,0,1084,1710,18.0,6.156147144295994e-05
541,GOLAGHAT,88,68,0,74,0,74,238,190,48,11,2,41,0.0,365,127,238,29,21,37,1,32,448,7,74,0,166,0,86,904,2932,87.0,0.000155626664667
